PMID,Sentence,ID_1,E1,Type_E1,Full_E1,MeSH_E1,Synonyms_1,Relation,ID_2,E2,Type_E2,Full_E2,MeSH_E2,Synonyms_2
34117182,"Our primary end points included the percent change of low-density lipoprotein cholesterol (LDL-C) from baseline and the incidence of at least one treatment emergent adverse events including nasopharyngitis, influenza-like illness, headache, dizziness, injection-site reaction, increased aspartate aminotransferase, increased alanine aminotransferase, and any other discomfort during treatments.",,influenza-like illness,DISEASE,influenza-like illness,,,increase,,alanine aminotransferase,CHEMICAL,alanine aminotransferase,,
34117182,"Our primary end points included the percent change of low-density lipoprotein cholesterol (LDL-C) from baseline and the incidence of at least one treatment emergent adverse events including nasopharyngitis, influenza-like illness, headache, dizziness, injection-site reaction, increased aspartate aminotransferase, increased alanine aminotransferase, and any other discomfort during treatments.",,headache,MENTAL_HEALTH,headache,,,increase,,alanine aminotransferase,CHEMICAL,alanine aminotransferase,,
34117182,"Our primary end points included the percent change of low-density lipoprotein cholesterol (LDL-C) from baseline and the incidence of at least one treatment emergent adverse events including nasopharyngitis, influenza-like illness, headache, dizziness, injection-site reaction, increased aspartate aminotransferase, increased alanine aminotransferase, and any other discomfort during treatments.",,increased aspartate aminotransferase,CHEMICAL,increased aspartate aminotransferase,,,increase,,alanine aminotransferase,CHEMICAL,alanine aminotransferase,,
30966208,"To enhance the thermal stability and permeability resistance, a comb-like polymer with crystallizable side chains was fabricated as solid-solid phase change materials (PCMs) inside the cores of microcapsules and nanocapsules prepared via in-situ polymerization.",,comb-like polymer,BIOCHEMICAL,comb-like polymer,,,enhance,,permeability resistance,MENTAL_HEALTH,permeability resistance,,
11600000,These and other phenolic compounds may contribute to kernel wax inhibition of A. flavus infection/aflatoxin production.,,phenolic compounds,CHEMICAL,Alkylresorcinol,,,contribute to kernel wax inhibition of,,flavus infection/aflatoxin production,DISEASE,flavus infection/aflatoxin production,,
34145727,We hypothesized that duloxetine may reduce the incidence and severity of fasciculation or succinylcholine-induced POM in outpatient surgeries.,,duloxetine,CHEMICAL,duloxetine,,,reduce incidence and severity of,,fasciculation,DISEASE,fasciculation,,
34145727,We hypothesized that duloxetine may reduce the incidence and severity of fasciculation or succinylcholine-induced POM in outpatient surgeries.,,duloxetine,CHEMICAL,duloxetine,,,reduce incidence and severity of,,succinylcholine-induced POM,CHEMICAL,succinylcholine-induced POM,,
33748246,Accidental dural puncture (ADP) and subsequent post-dural puncture headache (PDPH) remain common complications of epidural procedures for obstetric anesthesia and analgesia.,,subsequent post-dural puncture headache,MENTAL_HEALTH,subsequent post-dural puncture headache,,,remain common complications of epidural procedures for,,analgesia,MENTAL_HEALTH,analgesia,,
33748246,Accidental dural puncture (ADP) and subsequent post-dural puncture headache (PDPH) remain common complications of epidural procedures for obstetric anesthesia and analgesia.,,ADP,CHEMICAL,Accidental dural puncture,,,remain common complications of epidural procedures for,,analgesia,MENTAL_HEALTH,analgesia,,
23033490,"Then, the effects of dexamethasone on glucocorticoid receptor transcription, cell proliferation, apoptosis/cell cycle, and invasion were examined in bladder cancer lines.",,dexamethasone,CHEMICAL,dexamethasone,,,examined in,,bladder cancer lines,DISEASE,bladder cancer lines,,
23033490,"Finally, mouse xenograft models for bladder cancer were used to assess the efficacy of dexamethasone on tumor progression.",,bladder cancer,DISEASE,bladder cancer,,,assess efficacy of dexamethasone on,,tumor progression,DISEASE,tumor progression,,
23033490,"Finally, mouse xenograft models for bladder cancer were used to assess the efficacy of dexamethasone on tumor progression.",,bladder cancer,DISEASE,bladder cancer,,,assess efficacy of,,dexamethasone,CHEMICAL,dexamethasone,,
23033490,"Finally, mouse xenograft models for bladder cancer were used to assess the efficacy of dexamethasone on tumor progression.",,dexamethasone,CHEMICAL,dexamethasone,,,have the efficacy on,,tumor progression,DISEASE,tumor progression,,
23033490,"In addition, dexamethasone increased IκBα protein levels and cytosolic accumulation of NF-κB. In xenograft-bearing mice, dexamethasone slightly augmented the growth of the inoculated tumors but completely prevented the development of bloody ascites, suggestive of peritoneal dissemination of tumor cells, and actual metastasis.",,dexamethasone,CHEMICAL,dexamethasone,,,prevent development of,,bloody ascites,DISEASE,bloody ascites,,
23033490,"In addition, dexamethasone increased IκBα protein levels and cytosolic accumulation of NF-κB. In xenograft-bearing mice, dexamethasone slightly augmented the growth of the inoculated tumors but completely prevented the development of bloody ascites, suggestive of peritoneal dissemination of tumor cells, and actual metastasis.",,dexamethasone,CHEMICAL,dexamethasone,,,augment growth of inoculated tumors suggestive of peritoneal dissemination of,,tumor cells,DISEASE,tumor cells,,
23033490,"In addition, dexamethasone increased IκBα protein levels and cytosolic accumulation of NF-κB. In xenograft-bearing mice, dexamethasone slightly augmented the growth of the inoculated tumors but completely prevented the development of bloody ascites, suggestive of peritoneal dissemination of tumor cells, and actual metastasis.",,dexamethasone,CHEMICAL,dexamethasone,,,augment growth of,,tumors suggestive,DISEASE,tumors suggestive,,
19297425,"Moreover, inhibiting corticosterone-mediated signaling via administration of the glucocorticoid receptor antagonist RU486 blocked both the food deprivation- and diabetes-induced increase in REDD1 mRNA expression.",,antagonist RU486,CHEMICAL,antagonist RU486,,,block,,increase,DISEASE,increase,,
15331122,"It was unlikely that the effects of prenatal NLAAM were the result of toxicity, as little chronic toxicity was seen with the lower two doses of NLAAM, doses that yielded significant suppressions of neural-endocrine-immune responses.",,chronic toxicity,DISEASE,chronic toxicity,,,seen with lower doses of,,NLAAM,CHEMICAL,potent opiate N-desmethyl-l-alpha-noracetylmethadol,,
12010773,"However, the same concentration of CHPG (10 min perfusion) significantly attenuated the NMDA-induced ventral root depolarization (VRD).",,CHPG,CHEMICAL,CHPG,,,attenuate,,VRD,CHEMICAL,NMDA-induced ventral root depolarization,,
12010773,"3. The attenuating effect of CHPG on the NMDA-induced VRD was inhibited by the mGluR5 receptor antagonist, 2-methyl-6-phenyl-ethynylpyridine (MPEP).",,CHPG,CHEMICAL,CHPG,,,inhibited,,2-methyl-6-phenyl-ethynylpyridine MPEP,CHEMICAL,2-methyl-6-phenyl-ethynylpyridine MPEP,,
11070352,"In athymic nude mice, testosterone enanthate prevented the growth of MOP tumors and, when tumors did develop, brought about regression.",,tumors,DISEASE,tumors,,,bring about,,regression,MENTAL_HEALTH,regression,,
29706030,Preconception planning in women with hypothyroidism should pre-empt and mirror the adaptive changes in the thyroid gland by careful levothyroxine dose adjustments to ensure adequate foetal thyroid hormone delivery in pregnancy.,,hypothyroidism,DISEASE,hypothyroidism,,,mirror adaptive changes in thyroid gland by,,careful levothyroxine dose adjustments,CHEMICAL,careful levothyroxine dose adjustments,,
29706030,Women with active disease who are imminently trying to conceive should be switched to propylthiouracil either preconception or at conception in order to minimize the risk of birth defects from carbimazole or methimazole exposure.,,active disease,DISEASE,active disease,,,switched to,,propylthiouracil preconception,CHEMICAL,propylthiouracil preconception,,
33076712,"In sub-chronic treatment, 7-MX showed no mortality and signs for toxicity in any group, whereas 10% and 40% mortality with signs for toxicity were observed in caffeine and theobromine treated groups, respectively.",,toxicity,DISEASE,toxicity,,,observed in,,caffeine,CHEMICAL,caffeine,,
34303966,"In this study, neuroprotective potential of theobromine (TBR) was evaluated in 2-vessel occlusion transient global cerebral ischemia-reperfusion (tGCI/R) rat model.",,theobromine,NUTRITION,theobromine,,,evaluated in study in,,transient global cerebral ischemia-reperfusion,DISEASE,transient global cerebral ischemia-reperfusion,,
35043499,"This has been clinically validated: currently, two Hcrt receptor antagonists are approved to treat insomnia (suvorexant and lemborexant), with a New Drug Application recently submitted to the US Food and Drug Administration for a third drug (daridorexant).",,Drug Application,BIOCHEMICAL,Drug Application,,,submit to us food and drug administration for,,drug daridorexant,BIOCHEMICAL,drug daridorexant,,
35043499,"This has been clinically validated: currently, two Hcrt receptor antagonists are approved to treat insomnia (suvorexant and lemborexant), with a New Drug Application recently submitted to the US Food and Drug Administration for a third drug (daridorexant).",,Drug Application,BIOCHEMICAL,Drug Application,,,submit to,,Drug,BIOCHEMICAL,Drug,,
2175010,The neurological disorders in AIDS may be caused by dysfunction of cellular cholesterol transport.,,neurological disorders,DISEASE,neurological disorders,,,caused by dysfunction of,,cellular cholesterol transport,CHEMICAL,cellular cholesterol transport,,
2175010,The neurological disorders in AIDS may be caused by dysfunction of cellular cholesterol transport.,,AIDS,DISEASE,immune deficiency syndrome,,,caused by dysfunction of,,cellular cholesterol transport,CHEMICAL,cellular cholesterol transport,,
2175010,Substitution of high density lipoprotein is recommended in the treatment of severe polyneuropathy and dementia in AIDS.,,high density lipoprotein,NUTRITION,high density lipoprotein,,,recommended in treatment of severe polyneuropathy and dementia in,,AIDS,DISEASE,immune deficiency syndrome,,
2175010,Substitution of high density lipoprotein is recommended in the treatment of severe polyneuropathy and dementia in AIDS.,,high density lipoprotein,NUTRITION,high density lipoprotein,,,recommended in treatment of,,dementia,MENTAL_HEALTH,dementia,,
2175010,Substitution of high density lipoprotein is recommended in the treatment of severe polyneuropathy and dementia in AIDS.,,high density lipoprotein,NUTRITION,high density lipoprotein,,,recommended in treatment of,,severe polyneuropathy,DISEASE,severe polyneuropathy,,
2175010,Substitution of high density lipoprotein is recommended in the treatment of severe polyneuropathy and dementia in AIDS.,,dementia,MENTAL_HEALTH,dementia,,,have the treatment in,,AIDS,DISEASE,immune deficiency syndrome,,
2175010,Substitution of high density lipoprotein is recommended in the treatment of severe polyneuropathy and dementia in AIDS.,,severe polyneuropathy,DISEASE,severe polyneuropathy,,,have the treatment in,,AIDS,DISEASE,immune deficiency syndrome,,
9055798,"Unstable gait, absence of tremor-dominant disease and absence of a response to levodopa differentiated PSP from PD.",,levodopa,CHEMICAL,levodopa,,,differentiate psp from,,PD,DISEASE,Parkinson 's disease,,
18065267,Marijuana abuse is associated with neurological changes including increases in frontal EEG alpha during abstinence.,,Marijuana abuse,MENTAL_HEALTH,Marijuana abuse,,,including increases in,,frontal EEG alpha,NUTRITION,frontal EEG alpha,,
17659836,Cancer patients treated with antimitotic drugs in the taxane and vinca alkaloid classes sometimes develop a chronic painful peripheral neuropathy whose cause is not understood.,,Cancer patients,DISEASE,Cancer patients,,,develop,,chronic painful peripheral neuropathy,DISEASE,chronic painful peripheral neuropathy,,
8394025,"Chemotherapy, which is very active against this type of tumour, forms the basis of the conventional treatment where 2 sets of drug combinations are administered: either anthracycline + epidophyllotoxin + alkylating agent, or platinum salt + epidophyllotoxin.",,drug combinations,BIOCHEMICAL,drug combinations,,,administered,,epidophyllotoxin,CHEMICAL,epidophyllotoxin,,
8394025,"Chemotherapy, which is very active against this type of tumour, forms the basis of the conventional treatment where 2 sets of drug combinations are administered: either anthracycline + epidophyllotoxin + alkylating agent, or platinum salt + epidophyllotoxin.",,drug combinations,BIOCHEMICAL,drug combinations,,,administered,,platinum salt,CHEMICAL,platinum salt,,
