PMID,Sentence,E1,Type_E1,Relation,E2,Type_E2
34990378,"The treatment of bipolar depression is based on the options known from monopolar depression (such as the use of antidepressants, antipsychotics, and certain antiepileptic agents) and their combinations, while in recent years it has been enriched with new pharmaceutical agents and non-pharmacological approaches.",bipolar depression,MENTAL_HEALTH,based on options such as use of,antidepressants,CHEMICAL
33564897,"The typical cannabis side effects of tiredness, dizziness, dry mouth, and nausea occur with all cannabis medicines, and correspond to those already known from the product information of the cannabis-based medicinal products authorized under the pharmaceutical law.",tiredness,DISEASE,occur with,cannabis medicines,CHEMICAL
33564897,"The typical cannabis side effects of tiredness, dizziness, dry mouth, and nausea occur with all cannabis medicines, and correspond to those already known from the product information of the cannabis-based medicinal products authorized under the pharmaceutical law.",typical cannabis side effects,CHEMICAL,occur with,cannabis medicines,CHEMICAL
33564897,"The typical cannabis side effects of tiredness, dizziness, dry mouth, and nausea occur with all cannabis medicines, and correspond to those already known from the product information of the cannabis-based medicinal products authorized under the pharmaceutical law.",dry mouth,DISEASE,occur with,cannabis medicines,CHEMICAL
35179810,"Treatment-resistant depression (TRD) is characterized by the failure of at least one adequate trial of a major class of antidepressant, with adequate time and dosage.",TRD,CHEMICAL,characterized by failure of adequate trial of major class of,antidepressant,CHEMICAL
35179810,"Treatment-resistant depression (TRD) is characterized by the failure of at least one adequate trial of a major class of antidepressant, with adequate time and dosage.",Treatment-resistant depression,MENTAL_HEALTH,characterized by failure of adequate trial of major class of,antidepressant,CHEMICAL
31214863,"Although only a few studies have associated RTT and TH, TH deficit can lead to neurological deregulation by triggering functional deficiencies during adulthood.",TH deficit,DISEASE,trigger,functional deficiencies,DISEASE
2865824,Buspirone seems to be as effective as the benzodiazepines in the alleviation of anxiety and may have less untoward effects.,Buspirone,CHEMICAL,seem to effective as benzodiazepines in alleviation of,anxiety,MENTAL_HEALTH
2865824,Buspirone seems to be as effective as the benzodiazepines in the alleviation of anxiety and may have less untoward effects.,Buspirone,CHEMICAL,seem to effective as,benzodiazepines,CHEMICAL
35077343,"The addition of biotin, or genetic complementation with biotin synthesis genes resulted in full growth of Rhizobium etli CFN42 and Rhizobium phaseoli CIAT652 strains.",biotin synthesis genes,BIOCHEMICAL,result in full growth of,Rhizobium etli CFN42,DISEASE
35077343,"The addition of biotin, or genetic complementation with biotin synthesis genes resulted in full growth of Rhizobium etli CFN42 and Rhizobium phaseoli CIAT652 strains.",biotin,BIOCHEMICAL,result in full growth of,Rhizobium etli CFN42,DISEASE
31244693,"Results: The n-3 index negatively correlated with the severity of general psychopathology, psychotic symptoms, depressive symptoms, and manic symptoms.",n-3 index,CHEMICAL,correlate results with severity of,psychotic symptoms,DISEASE
31244693,"Results: The n-3 index negatively correlated with the severity of general psychopathology, psychotic symptoms, depressive symptoms, and manic symptoms.",n-3 index,CHEMICAL,correlate results with severity of,depressive symptoms,DISEASE
31244693,"Results: The n-3 index negatively correlated with the severity of general psychopathology, psychotic symptoms, depressive symptoms, and manic symptoms.",n-3 index,CHEMICAL,correlate results with severity of,manic symptoms,DISEASE
31244693,The n-6/n-3 PUFA ratio positively correlated with severity of psychotic and depressive symptoms.,n-6/n-3 PUFA ratio,CHEMICAL,correlate with severity of,psychotic,DISEASE
31244693,The n-6/n-3 PUFA ratio positively correlated with severity of psychotic and depressive symptoms.,n-6/n-3 PUFA ratio,CHEMICAL,correlate with severity of,symptoms,DISEASE
31244693,"The n-3 PUFA DHA negatively correlated with the severity of general psychopathology, positive, manic, and depressive symptoms.",n-3 PUFA DHA,CHEMICAL,correlate with severity of,depressive symptoms,DISEASE
31244693,"The n-3 PUFA DHA negatively correlated with the severity of general psychopathology, positive, manic, and depressive symptoms.",n-3 PUFA DHA,CHEMICAL,correlate with severity of,manic,DISEASE
31244693,"The long-chain saturated fatty acid tetracosanoic acid positively correlated with general psychopathology, positive, manic, and depressive symptoms.",long-chain saturated fatty acid tetracosanoic acid,NUTRITION,correlate with,depressive symptoms,DISEASE
31244693,"The long-chain saturated fatty acid tetracosanoic acid positively correlated with general psychopathology, positive, manic, and depressive symptoms.",long-chain saturated fatty acid tetracosanoic acid,NUTRITION,correlate with,manic,DISEASE
28314070,The purpose of this study was to evaluate the extent of short-term memory impairment and schizophrenia-like symptoms in heavy and systematic cannabis users and the association between the severity of abuse and the longevity of its persistent symptoms after refraining from such use.,short-term memory impairment,DISEASE,have the extent in,cannabis,CHEMICAL
28314070,The purpose of this study was to evaluate the extent of short-term memory impairment and schizophrenia-like symptoms in heavy and systematic cannabis users and the association between the severity of abuse and the longevity of its persistent symptoms after refraining from such use.,schizophrenia-like symptoms,DISEASE,have the extent in,cannabis,CHEMICAL
2787581,"Although the number of cases in this study was small, the findings support the hypothesis that cannabis does play an aetiological role in schizophrenia.",cannabis,CHEMICAL,play aetiological role in,schizophrenia,MENTAL_HEALTH
28751857,It is still unclear whether this BDNF SNP affects the clinical outcome of RTT individuals.,BDNF SNP,CHEMICAL,affect clinical outcome of,RTT individuals,DISEASE
28751857,"To evaluate whether this BDNF SNP contributes to RTT pathophysiology, we examined the consequences of expression of either val-BDNF or met-BDNF on dendrite and dendritic spine morphology, and synaptic function in cultured hippocampal neurons from wildtype (WT) and Mecp2 knockout (KO) mice.",BDNF SNP,CHEMICAL,contribute to,RTT pathophysiology,DISEASE
34305715,High scores for the emotionality and self-control dimensions of TEI were strongly associated with membership of the low alexithymia group; high scores for the emotional exhaustion dimension of school burnout were indicative of membership of the high alexithymia group.,self-control dimensions,CHEMICAL,associated with membership of,low alexithymia group,MENTAL_HEALTH
16199199,"Citrin, encoded by SLC25A13, is a liver-type mitochondrial aspartate-glutamate carrier (AGC), of which deficiency, in autosomal recessive trait, causes neonatal intrahepatic cholestasis (NICCD) and adult-onset type II citrullinemia (CTLN2).",autosomal recessive trait,DISEASE,cause,adult-onset type citrullinemia,DISEASE
16199199,"Citrin, encoded by SLC25A13, is a liver-type mitochondrial aspartate-glutamate carrier (AGC), of which deficiency, in autosomal recessive trait, causes neonatal intrahepatic cholestasis (NICCD) and adult-onset type II citrullinemia (CTLN2).",autosomal recessive trait,DISEASE,cause,neonatal intrahepatic cholestasis,DISEASE
16199199,"Citrin, encoded by SLC25A13, is a liver-type mitochondrial aspartate-glutamate carrier (AGC), of which deficiency, in autosomal recessive trait, causes neonatal intrahepatic cholestasis (NICCD) and adult-onset type II citrullinemia (CTLN2).",autosomal recessive trait,DISEASE,cause,NICCD,DISEASE
16199199,"Citrin, encoded by SLC25A13, is a liver-type mitochondrial aspartate-glutamate carrier (AGC), of which deficiency, in autosomal recessive trait, causes neonatal intrahepatic cholestasis (NICCD) and adult-onset type II citrullinemia (CTLN2).",autosomal recessive trait,DISEASE,cause,CTLN2,DISEASE
16199199,Many CTLN2 patients have been treated with a low protein and high carbohydrate diet and glycerol at the hyperammonemic coma.,Many CTLN2 patients,DISEASE,treated with low protein and high carbohydrate diet and glycerol at,hyperammonemic coma,DISEASE
23378222,"Patients with Parkinson's disease with hypersexuality were scanned ON and OFF dopamine drugs, and their results were compared with a group of 12 Parkinson's disease control patients without hypersexuality or other impulse control disorders.",hypersexuality,DISEASE,scanned,dopamine drugs,CHEMICAL
23378222,"Patients with Parkinson's disease with hypersexuality were scanned ON and OFF dopamine drugs, and their results were compared with a group of 12 Parkinson's disease control patients without hypersexuality or other impulse control disorders.",Parkinson's disease,DISEASE,scanned,dopamine drugs,CHEMICAL
32201299,These results also suggests the need to test for the concomitant prescription of ketamine and BZD to see whether its sustained antidepressant activity is maintained in TRD patients.,sustained antidepressant activity,CHEMICAL,maintained in,TRD patients,DISEASE
25709457,Levothyroxine therapy might be potentially useful to attenuate mood instability in this patient group.,Levothyroxine therapy,CHEMICAL,attenuate,mood instability,DISEASE
35255053,"According to the difference in intervening measures, the cilostazol group was superior to the control group in inhibiting the progression of carotid intima-media thickness: cilostazol versus placebo (MD, -0.04 mm; 95% CI, -0.06 to -0.02; P < 0.00001), cilostazol versus no antiplatelet drug (MD, -0.14 mm; 95% CI, -0.26 to -0.03; P = 0.02), cilostazol versus aspirin (MD, -0.17 mm; 95% CI, -0.32 to -0.02; P = 0.02), cilostazol + aspirin versus aspirin (MD, -0.08 mm; 95% CI, -0.14 to -0.02; P = 0.007), cilostazol + aspirin versus clopidogrel + aspirin (MD, -0.07 mm; 95% CI, -0.14 to -0.00; P = 0.04), and cilostazol + clopidogrel + aspirin versus clopidogrel + aspirin (MD, -0.16 mm; 95% CI, -0.30 to -0.02; P = 0.03).",cilostazol group,CHEMICAL,according to difference in intervening measures to,clopidogrel,CHEMICAL
35255053,"According to the difference in intervening measures, the cilostazol group was superior to the control group in inhibiting the progression of carotid intima-media thickness: cilostazol versus placebo (MD, -0.04 mm; 95% CI, -0.06 to -0.02; P < 0.00001), cilostazol versus no antiplatelet drug (MD, -0.14 mm; 95% CI, -0.26 to -0.03; P = 0.02), cilostazol versus aspirin (MD, -0.17 mm; 95% CI, -0.32 to -0.02; P = 0.02), cilostazol + aspirin versus aspirin (MD, -0.08 mm; 95% CI, -0.14 to -0.02; P = 0.007), cilostazol + aspirin versus clopidogrel + aspirin (MD, -0.07 mm; 95% CI, -0.14 to -0.00; P = 0.04), and cilostazol + clopidogrel + aspirin versus clopidogrel + aspirin (MD, -0.16 mm; 95% CI, -0.30 to -0.02; P = 0.03).",cilostazol group,CHEMICAL,according to difference in intervening measures to,drug,BIOCHEMICAL
35255053,"According to the difference in intervening measures, the cilostazol group was superior to the control group in inhibiting the progression of carotid intima-media thickness: cilostazol versus placebo (MD, -0.04 mm; 95% CI, -0.06 to -0.02; P < 0.00001), cilostazol versus no antiplatelet drug (MD, -0.14 mm; 95% CI, -0.26 to -0.03; P = 0.02), cilostazol versus aspirin (MD, -0.17 mm; 95% CI, -0.32 to -0.02; P = 0.02), cilostazol + aspirin versus aspirin (MD, -0.08 mm; 95% CI, -0.14 to -0.02; P = 0.007), cilostazol + aspirin versus clopidogrel + aspirin (MD, -0.07 mm; 95% CI, -0.14 to -0.00; P = 0.04), and cilostazol + clopidogrel + aspirin versus clopidogrel + aspirin (MD, -0.16 mm; 95% CI, -0.30 to -0.02; P = 0.03).",cilostazol group,CHEMICAL,according to difference in intervening measures to,aspirin,CHEMICAL
35255053,"According to the difference in intervening measures, the cilostazol group was superior to the control group in inhibiting the progression of carotid intima-media thickness: cilostazol versus placebo (MD, -0.04 mm; 95% CI, -0.06 to -0.02; P < 0.00001), cilostazol versus no antiplatelet drug (MD, -0.14 mm; 95% CI, -0.26 to -0.03; P = 0.02), cilostazol versus aspirin (MD, -0.17 mm; 95% CI, -0.32 to -0.02; P = 0.02), cilostazol + aspirin versus aspirin (MD, -0.08 mm; 95% CI, -0.14 to -0.02; P = 0.007), cilostazol + aspirin versus clopidogrel + aspirin (MD, -0.07 mm; 95% CI, -0.14 to -0.00; P = 0.04), and cilostazol + clopidogrel + aspirin versus clopidogrel + aspirin (MD, -0.16 mm; 95% CI, -0.30 to -0.02; P = 0.03).",cilostazol group,CHEMICAL,according to difference in intervening measures to,cilostazol,CHEMICAL
35255053,"According to the difference in intervening measures, the cilostazol group was superior to the control group in inhibiting the progression of carotid intima-media thickness: cilostazol versus placebo (MD, -0.04 mm; 95% CI, -0.06 to -0.02; P < 0.00001), cilostazol versus no antiplatelet drug (MD, -0.14 mm; 95% CI, -0.26 to -0.03; P = 0.02), cilostazol versus aspirin (MD, -0.17 mm; 95% CI, -0.32 to -0.02; P = 0.02), cilostazol + aspirin versus aspirin (MD, -0.08 mm; 95% CI, -0.14 to -0.02; P = 0.007), cilostazol + aspirin versus clopidogrel + aspirin (MD, -0.07 mm; 95% CI, -0.14 to -0.00; P = 0.04), and cilostazol + clopidogrel + aspirin versus clopidogrel + aspirin (MD, -0.16 mm; 95% CI, -0.30 to -0.02; P = 0.03).",cilostazol group,CHEMICAL,inhibit progression of,carotid intima-media thickness,DISEASE
35255053,"Cilostazol therapy significantly increased the risk of adverse events of headache (odds ratio, 12.91; 95% CI 5.33-31.29).",Cilostazol therapy,CHEMICAL,increase risk of adverse events of,headache,MENTAL_HEALTH
34117182,"Our primary end points included the percent change of low-density lipoprotein cholesterol (LDL-C) from baseline and the incidence of at least one treatment emergent adverse events including nasopharyngitis, influenza-like illness, headache, dizziness, injection-site reaction, increased aspartate aminotransferase, increased alanine aminotransferase, and any other discomfort during treatments.",influenza-like illness,DISEASE,increase,alanine aminotransferase,CHEMICAL
34117182,"Our primary end points included the percent change of low-density lipoprotein cholesterol (LDL-C) from baseline and the incidence of at least one treatment emergent adverse events including nasopharyngitis, influenza-like illness, headache, dizziness, injection-site reaction, increased aspartate aminotransferase, increased alanine aminotransferase, and any other discomfort during treatments.",headache,MENTAL_HEALTH,increase,alanine aminotransferase,CHEMICAL
34117182,"Our primary end points included the percent change of low-density lipoprotein cholesterol (LDL-C) from baseline and the incidence of at least one treatment emergent adverse events including nasopharyngitis, influenza-like illness, headache, dizziness, injection-site reaction, increased aspartate aminotransferase, increased alanine aminotransferase, and any other discomfort during treatments.",increased aspartate aminotransferase,CHEMICAL,increase,alanine aminotransferase,CHEMICAL
30966208,"To enhance the thermal stability and permeability resistance, a comb-like polymer with crystallizable side chains was fabricated as solid-solid phase change materials (PCMs) inside the cores of microcapsules and nanocapsules prepared via in-situ polymerization.",comb-like polymer,BIOCHEMICAL,enhance,permeability resistance,MENTAL_HEALTH
11600000,These and other phenolic compounds may contribute to kernel wax inhibition of A. flavus infection/aflatoxin production.,other phenolic compounds,CHEMICAL,contribute to kernel wax inhibition of,flavus infection/aflatoxin production,DISEASE
34145727,We hypothesized that duloxetine may reduce the incidence and severity of fasciculation or succinylcholine-induced POM in outpatient surgeries.,duloxetine,CHEMICAL,reduce incidence and severity of,fasciculation,DISEASE
34145727,We hypothesized that duloxetine may reduce the incidence and severity of fasciculation or succinylcholine-induced POM in outpatient surgeries.,duloxetine,CHEMICAL,reduce incidence and severity of,succinylcholine-induced POM,CHEMICAL
33748246,Accidental dural puncture (ADP) and subsequent post-dural puncture headache (PDPH) remain common complications of epidural procedures for obstetric anesthesia and analgesia.,subsequent post-dural puncture headache,MENTAL_HEALTH,remain common complications of epidural procedures for,analgesia,MENTAL_HEALTH
33748246,Accidental dural puncture (ADP) and subsequent post-dural puncture headache (PDPH) remain common complications of epidural procedures for obstetric anesthesia and analgesia.,ADP,CHEMICAL,remain common complications of epidural procedures for,analgesia,MENTAL_HEALTH
23033490,"Then, the effects of dexamethasone on glucocorticoid receptor transcription, cell proliferation, apoptosis/cell cycle, and invasion were examined in bladder cancer lines.",dexamethasone,CHEMICAL,examined in,bladder cancer lines,DISEASE
23033490,"Finally, mouse xenograft models for bladder cancer were used to assess the efficacy of dexamethasone on tumor progression.",bladder cancer,DISEASE,assess efficacy of dexamethasone on,tumor progression,DISEASE
23033490,"Finally, mouse xenograft models for bladder cancer were used to assess the efficacy of dexamethasone on tumor progression.",bladder cancer,DISEASE,assess efficacy of,dexamethasone,CHEMICAL
23033490,"Finally, mouse xenograft models for bladder cancer were used to assess the efficacy of dexamethasone on tumor progression.",dexamethasone,CHEMICAL,have the efficacy on,tumor progression,DISEASE
23033490,"In addition, dexamethasone increased IκBα protein levels and cytosolic accumulation of NF-κB. In xenograft-bearing mice, dexamethasone slightly augmented the growth of the inoculated tumors but completely prevented the development of bloody ascites, suggestive of peritoneal dissemination of tumor cells, and actual metastasis.",dexamethasone,CHEMICAL,prevent development of,bloody ascites,DISEASE
23033490,"In addition, dexamethasone increased IκBα protein levels and cytosolic accumulation of NF-κB. In xenograft-bearing mice, dexamethasone slightly augmented the growth of the inoculated tumors but completely prevented the development of bloody ascites, suggestive of peritoneal dissemination of tumor cells, and actual metastasis.",dexamethasone,CHEMICAL,augment growth of inoculated tumors suggestive of peritoneal dissemination of,tumor cells,DISEASE
23033490,"In addition, dexamethasone increased IκBα protein levels and cytosolic accumulation of NF-κB. In xenograft-bearing mice, dexamethasone slightly augmented the growth of the inoculated tumors but completely prevented the development of bloody ascites, suggestive of peritoneal dissemination of tumor cells, and actual metastasis.",dexamethasone,CHEMICAL,augment growth of,tumors suggestive,DISEASE
19297425,"Moreover, inhibiting corticosterone-mediated signaling via administration of the glucocorticoid receptor antagonist RU486 blocked both the food deprivation- and diabetes-induced increase in REDD1 mRNA expression.",antagonist RU486,CHEMICAL,block,increase,DISEASE
15331122,"It was unlikely that the effects of prenatal NLAAM were the result of toxicity, as little chronic toxicity was seen with the lower two doses of NLAAM, doses that yielded significant suppressions of neural-endocrine-immune responses.",chronic toxicity,DISEASE,seen with lower doses of,NLAAM,CHEMICAL
12010773,"However, the same concentration of CHPG (10 min perfusion) significantly attenuated the NMDA-induced ventral root depolarization (VRD).",CHPG,CHEMICAL,attenuate,VRD,CHEMICAL
12010773,"3. The attenuating effect of CHPG on the NMDA-induced VRD was inhibited by the mGluR5 receptor antagonist, 2-methyl-6-phenyl-ethynylpyridine (MPEP).",CHPG,CHEMICAL,inhibited,2-methyl-6-phenyl-ethynylpyridine MPEP,CHEMICAL
11070352,"In athymic nude mice, testosterone enanthate prevented the growth of MOP tumors and, when tumors did develop, brought about regression.",tumors,DISEASE,bring about,regression,MENTAL_HEALTH
29706030,Preconception planning in women with hypothyroidism should pre-empt and mirror the adaptive changes in the thyroid gland by careful levothyroxine dose adjustments to ensure adequate foetal thyroid hormone delivery in pregnancy.,hypothyroidism,DISEASE,mirror adaptive changes in thyroid gland by,careful levothyroxine dose adjustments,CHEMICAL
29706030,Women with active disease who are imminently trying to conceive should be switched to propylthiouracil either preconception or at conception in order to minimize the risk of birth defects from carbimazole or methimazole exposure.,active disease,DISEASE,switched to,propylthiouracil preconception,CHEMICAL
33076712,"In sub-chronic treatment, 7-MX showed no mortality and signs for toxicity in any group, whereas 10% and 40% mortality with signs for toxicity were observed in caffeine and theobromine treated groups, respectively.",toxicity,DISEASE,observed in,caffeine,CHEMICAL
34303966,"In this study, neuroprotective potential of theobromine (TBR) was evaluated in 2-vessel occlusion transient global cerebral ischemia-reperfusion (tGCI/R) rat model.",theobromine,NUTRITION,evaluated in study in,transient global cerebral ischemia-reperfusion,DISEASE
35043499,"This has been clinically validated: currently, two Hcrt receptor antagonists are approved to treat insomnia (suvorexant and lemborexant), with a New Drug Application recently submitted to the US Food and Drug Administration for a third drug (daridorexant).",Drug Application,BIOCHEMICAL,submit to us food and drug administration for,drug daridorexant,BIOCHEMICAL
35043499,"This has been clinically validated: currently, two Hcrt receptor antagonists are approved to treat insomnia (suvorexant and lemborexant), with a New Drug Application recently submitted to the US Food and Drug Administration for a third drug (daridorexant).",Drug Application,BIOCHEMICAL,submit to,Drug,BIOCHEMICAL
2175010,The neurological disorders in AIDS may be caused by dysfunction of cellular cholesterol transport.,neurological disorders,DISEASE,caused by dysfunction of,cellular cholesterol transport,CHEMICAL
2175010,The neurological disorders in AIDS may be caused by dysfunction of cellular cholesterol transport.,AIDS,DISEASE,caused by dysfunction of,cellular cholesterol transport,CHEMICAL
2175010,Substitution of high density lipoprotein is recommended in the treatment of severe polyneuropathy and dementia in AIDS.,high density lipoprotein,NUTRITION,recommended in treatment of severe polyneuropathy and dementia in,AIDS,DISEASE
2175010,Substitution of high density lipoprotein is recommended in the treatment of severe polyneuropathy and dementia in AIDS.,high density lipoprotein,NUTRITION,recommended in treatment of,dementia,MENTAL_HEALTH
2175010,Substitution of high density lipoprotein is recommended in the treatment of severe polyneuropathy and dementia in AIDS.,high density lipoprotein,NUTRITION,recommended in treatment of,severe polyneuropathy,DISEASE
2175010,Substitution of high density lipoprotein is recommended in the treatment of severe polyneuropathy and dementia in AIDS.,dementia,MENTAL_HEALTH,have the treatment in,AIDS,DISEASE
2175010,Substitution of high density lipoprotein is recommended in the treatment of severe polyneuropathy and dementia in AIDS.,severe polyneuropathy,DISEASE,have the treatment in,AIDS,DISEASE
9055798,"Unstable gait, absence of tremor-dominant disease and absence of a response to levodopa differentiated PSP from PD.",levodopa,CHEMICAL,differentiate psp from,PD,DISEASE
18065267,Marijuana abuse is associated with neurological changes including increases in frontal EEG alpha during abstinence.,Marijuana abuse,MENTAL_HEALTH,including increases in,frontal EEG alpha,NUTRITION
17659836,Cancer patients treated with antimitotic drugs in the taxane and vinca alkaloid classes sometimes develop a chronic painful peripheral neuropathy whose cause is not understood.,Cancer patients,DISEASE,develop,chronic painful peripheral neuropathy,DISEASE
8394025,"Chemotherapy, which is very active against this type of tumour, forms the basis of the conventional treatment where 2 sets of drug combinations are administered: either anthracycline + epidophyllotoxin + alkylating agent, or platinum salt + epidophyllotoxin.",drug combinations,BIOCHEMICAL,administered,epidophyllotoxin,CHEMICAL
8394025,"Chemotherapy, which is very active against this type of tumour, forms the basis of the conventional treatment where 2 sets of drug combinations are administered: either anthracycline + epidophyllotoxin + alkylating agent, or platinum salt + epidophyllotoxin.",drug combinations,BIOCHEMICAL,administered,platinum salt,CHEMICAL
8394025,"Chemotherapy, which is very active against this type of tumour, forms the basis of the conventional treatment where 2 sets of drug combinations are administered: either anthracycline + epidophyllotoxin + alkylating agent, or platinum salt + epidophyllotoxin.",drug combinations,BIOCHEMICAL,administered,anthracycline,CHEMICAL
34800616,"Two use cases for VBD treatment were identified 1) rapid drug release (<5 min), for use prior to intercourse and 2) long-acting release (≥120 min) for prolonged use and relief throughout the day.",VBD treatment,DISEASE,identified,rapid drug release,BIOCHEMICAL
9111026,The diverse biological actions of retinoic acid (RA) are mediated by retinoic acid receptors (RARs) and retinoid X receptors.,retinoic acid,CHEMICAL,mediated by,retinoic acid receptors,CHEMICAL
19672626,"For instance, neurocognitive disorders such as attention-deficit hyperactivity disorder (ADHD), dyslexia, dyspraxia and autism spectrum disorders are often associated with a relative lack of omega-3 fatty acids.",neurocognitive disorders,DISEASE,associated for instance with relative lack of,omega-3 fatty acids,NUTRITION
19672626,"For instance, neurocognitive disorders such as attention-deficit hyperactivity disorder (ADHD), dyslexia, dyspraxia and autism spectrum disorders are often associated with a relative lack of omega-3 fatty acids.",attention-deficit hyperactivity disorder,MENTAL_HEALTH,associated for instance with relative lack of,omega-3 fatty acids,NUTRITION
19672626,"For instance, neurocognitive disorders such as attention-deficit hyperactivity disorder (ADHD), dyslexia, dyspraxia and autism spectrum disorders are often associated with a relative lack of omega-3 fatty acids.",ADHD,MENTAL_HEALTH,associated for instance with relative lack of,omega-3 fatty acids,NUTRITION
19672626,"For instance, neurocognitive disorders such as attention-deficit hyperactivity disorder (ADHD), dyslexia, dyspraxia and autism spectrum disorders are often associated with a relative lack of omega-3 fatty acids.",dyslexia,MENTAL_HEALTH,associated for instance with relative lack of,omega-3 fatty acids,NUTRITION
19672626,"For instance, neurocognitive disorders such as attention-deficit hyperactivity disorder (ADHD), dyslexia, dyspraxia and autism spectrum disorders are often associated with a relative lack of omega-3 fatty acids.",autism,MENTAL_HEALTH,associated for instance with relative lack of,omega-3 fatty acids,NUTRITION
19672626,"In addition to a high omega-6 fatty acid intake and, in many cases, an insufficient supply of omega-3 fatty acids among the population, evidence is increasing to suggest that PUFA metabolism can be impaired in individuals with ADHD.",PUFA metabolism,CHEMICAL,impaired in individuals with,ADHD,MENTAL_HEALTH
17099560,"Classical enzymatic inductors, such as antiepileptic molecules (phenobarbital, carbamazepin), antituberculosis compounds (rifampicin), or antiretroviral therapy (efavirenz, nevirapin, ritonavir), could possibly lead to respiratory depression for example.",antituberculosis compounds,CHEMICAL,lead to,respiratory depression,MENTAL_HEALTH
17099560,"Classical enzymatic inductors, such as antiepileptic molecules (phenobarbital, carbamazepin), antituberculosis compounds (rifampicin), or antiretroviral therapy (efavirenz, nevirapin, ritonavir), could possibly lead to respiratory depression for example.",phenobarbital,CHEMICAL,lead to,respiratory depression,MENTAL_HEALTH
17099560,"Metabolism inhibitors such as selective serotonin reuptake inhibitors (fluvoxamine, fluoxetine, paroxetine, sertraline) or antifungals of the azol groups could enhance plasma concentration and may sometimes lead to respiratory depression or death.",selective serotonin reuptake inhibitors,CHEMICAL,lead to,death,DISEASE
