PMID,Sentence
34859399,"Fixation of tissues prior IHC enables their long-term stability and preserves tissue morphology; however, downstream analysis of protein localization within fixed samples can be complicated by cross-links formed between proteins during formalin fixation which mask target epitopes."
31244693,Background: Deficiencies in membrane polyunsaturated fatty acids (PUFA) such as omega-3 (n-3) fatty acids are thought to contribute to the pathophysiological processes underlying psychotic disorders.
31244693,"Here, we investigated associations of membrane PUFA with clinical symptoms and functioning in a large sample of individuals at ultra-high risk (UHR) for psychosis."
31244693,"Severity of general psychopathology [Brief Psychiatric Rating Scale (BPRS)], psychotic symptoms (BPRS psychosis subscale), negative symptoms [Scale for the Assessment of Negative Symptoms (SANS)], manic symptoms [Young Mania Rating Scale (YMRS)], depressive symptoms [Montgomery Asberg Depression Rating Scale (MADRS)], and functioning [Social and Occupational Functioning Scale (SOFAS), Global Functioning Social (GF-S) and Role (GF-R) scales] were assessed concurrently."
31244693,"Results: The n-3 index negatively correlated with the severity of general psychopathology, psychotic symptoms, depressive symptoms, and manic symptoms."
31244693,The n-6/n-3 PUFA ratio positively correlated with severity of psychotic and depressive symptoms.
31244693,"The n-3 PUFA DHA negatively correlated with the severity of general psychopathology, positive, manic, and depressive symptoms."
31244693,EPA negatively correlated with manic symptoms.
31244693,"Nervonic acid, an n-9 monounsaturated fatty acid, positively correlated with general psychopathology, positive and negative symptoms, depressive symptoms, and manic symptoms."
31244693,"The long-chain saturated fatty acid tetracosanoic acid positively correlated with general psychopathology, positive, manic, and depressive symptoms."
31244693,These findings support the relevance of membrane fatty acids for the onset of psychotic symptoms and indicate that FAs should be further evaluated as biomarkers in the UHR for psychosis group.
28314070,The purpose of this study was to evaluate the extent of short-term memory impairment and schizophrenia-like symptoms in heavy and systematic cannabis users and the association between the severity of abuse and the longevity of its persistent symptoms after refraining from such use.
27840857,"The Food and Drug Administration (FDA) has approved some Medication-Assisted Treatments (MATs) for alcoholism, opiate and nicotine dependence, but nothing for psychostimulant and cannabis abuse."
27840857,"We review, herein, the history of the development of a glutaminergic-dopaminergic optimization complex called KB220 to provide for the possible eventual balancing of the brain reward system and the induction of ""dopamine homeostasis."" This complex may provide substantial clinical benefit to the victims of Reward Deficiency Syndrome (RDS) and assist in recovery from iatrogenically induced addiction to unwanted opiates/opioids and other addictive behaviors."
2787581,In a previous longitudinal study of Swedish conscripts we have shown strong association between level of cannabis consumption at conscription and development of schizophrenia during 15 years of follow-up.
2787581,Case records for all conscripts residing in Stockholm County who reported consuming cannabis on more than 10 occasions and who subsequently developed schizophrenia (n = 8) were compared with case records of a sample of conscripts who also developed schizophrenia but reported no cannabis consumption at conscription (n = 13).
2787581,The relative risk of schizophrenia among cannabis users in Stockholm County was 4.1 (95% confidence interval 1.8-9.3) compared with nonusers.
2787581,No evidence was found of a significant role for any other narcotic drug in the emergence of schizophrenia among cannabis abusers.
2787581,"A different pattern of mental deterioration was found among cannabis users, with a more abrupt onset of schizophrenic symptoms than nonusers."
2787581,"Although the number of cases in this study was small, the findings support the hypothesis that cannabis does play an aetiological role in schizophrenia."
28973632,"Methyl CpG-binding protein 2 (MeCP2), the mutated protein in Rett syndrome (RTT), is a crucial chromatin-modifying and gene-regulatory protein that has two main isoforms (MeCP2_E1 and MeCP2_ E2) due to the alternative splicing and switching between translation start codons in exons one and two."
28751857,The human BDNF gene has a single nucleotide polymorphism (SNP)-a methionine (met) substitution for valine (val) at codon 66-that affects BDNF's trafficking and activity-dependent release and results in cognitive dysfunction.
28751857,It is still unclear whether this BDNF SNP affects the clinical outcome of RTT individuals.
28751857,"To evaluate whether this BDNF SNP contributes to RTT pathophysiology, we examined the consequences of expression of either val-BDNF or met-BDNF on dendrite and dendritic spine morphology, and synaptic function in cultured hippocampal neurons from wildtype (WT) and Mecp2 knockout (KO) mice."
34305715,High scores for the emotionality and self-control dimensions of TEI were strongly associated with membership of the low alexithymia group; high scores for the emotional exhaustion dimension of school burnout were indicative of membership of the high alexithymia group.
34305715,"These findings suggest crucial focuses for educational intervention: efforts to reduce the risk of emotional exhaustion and school burnout should especially concentrate on enhancing emotional awareness and self-control skills, both strongly associated with low levels of alexithymia."
16677980,Medium chain acyl-coenzyme A dehydrogenase (MCAD) deficiency is an inherited disorder of fatty acid metabolism that usually presents in early childhood.
16199199,"Citrin, encoded by SLC25A13, is a liver-type mitochondrial aspartate-glutamate carrier (AGC), of which deficiency, in autosomal recessive trait, causes neonatal intrahepatic cholestasis (NICCD) and adult-onset type II citrullinemia (CTLN2)."
16199199,"NICCD patients have jaundice, hypoproteinemia, hypoglycemia, galactosemia, growth retardation, fatty liver and multiple aminoacidemia including citrulline, methionine, threonine and tyrosine."
16199199,"Laboratory findings reveal hyperammonemia, citrullinemia, fatty liver and liver-specific decrease in a urea cycle enzyme, argininosuccinate synthetase (ASS)."
16199199,AGC is also important for gluconeogenesis from lactate.
16199199,Many CTLN2 patients have been treated with a low protein and high carbohydrate diet and glycerol at the hyperammonemic coma.
16199199,"Loss of citrin first cause deficiency of aspartate in the cytosol, which results in an increase in cytosolic NADH/NAD(+) ratio and then activation of fatty acid synthesis pathway to compensate the aberrant ratio."
6415144,"There was evidence of alterations in membrane function due to essential fatty acid deficiency including CNS involvement (blindness, impaired hearing and disorientation) as well as respiratory insufficiency."
23378222,Hypersexuality with compulsive sexual behaviour is a significant source of morbidity for patients with Parkinson's disease receiving dopamine replacement therapies.
23378222,"Patients with Parkinson's disease with hypersexuality were scanned ON and OFF dopamine drugs, and their results were compared with a group of 12 Parkinson's disease control patients without hypersexuality or other impulse control disorders."
35425788,"Indeed, based on a possible deficit of omega-3 fatty acids (FAs) of patients with ASD and looking for an anti-inflammatory effect, dietary supplements with omega-3 fatty acids have been proposed."
35425788,We aimed to evaluate differences in plasma and erythrocyte FA profiles and plasma cytokines in patients with infantile ASD after supplementation with docosahexaenoic (DHA) and eicosapentaenoic (EPA) acids or placebo and both compared at baseline with a reference healthy group.
35013866,"This double-blind, randomized controlled trial, tested fatty acid (FA) supplementation in children (ages 2- < 6 years) recently diagnosed with Autism Spectrum Disorder (ASD)."
20543026,"The purpose of this tutorial is to provide speech-language pathologists (SLPs) with general information regarding the most commonly prescribed medications for children with autism spectrum disorder (ASD; e.g., central nervous system stimulants, noradrenergic reuptake inhibitors, alpha-2 adrenergic agonists, antipsychotics, anticonvulsants, selective serotonin reuptake inhibitors, benzodiazepines) in regard to their mechanism of action, behaviors treated, and potential side effects."
32201299,"At sub-anaesthetic doses, ketamine, a non competitive N-methyl-d-aspartate (NMDA) receptor antagonist, has demonstrated remarkable and rapid antidepressant (AD) efficacy in patients with treatment-resistant depression (TRD)."
32201299,"Since comorbid depression and anxiety disorders often occur, GABAergic/inhibitory and glutamatergic/excitatory drug treatments may be co-administered in these patients."
32201299,These results also suggests the need to test for the concomitant prescription of ketamine and BZD to see whether its sustained antidepressant activity is maintained in TRD patients.
30984021,"Here, we set out to investigate the role of the rodent insula in anxiety by either inactivating different insular regions via microinjections of glutamatergic AMPA receptor antagonist CNQX or activating them by microinjection of GABA receptor antagonist bicuculline in rats, before measuring anxiety-like behavior using the elevated plus maze."
35584371,"Without regulation, ADH release will cause a significant decrease in plasma sodium concentration and can present with cramping, nausea, vomiting, and in severe cases, seizures, and potentially falling into a comatose state."
35584371,"We report a rare case of SIADH resulting from a single cycle of doxorubicin and cyclophosphamide chemotherapy in a 66-year-old female with left and right, estrogen receptor positive breast cancer who experienced seizures resulting from a dramatic drop in sodium levels."
9605579,"The effect of chronic subcutaneous infusion of the 5-HT2C receptor agonist, m-chlorophenylpiperazine (m-CPP, 10 mg kg(-1), day(-1)), for 14 days was examined on daily food intake, the ability of acute m-CPP (2.5 mg kg(-1), i.p.) to induce hypolocomotion in a novel arena and elevate plasma corticosterone levels and on ex vivo cortical [3H]-mesulergine binding and hippocampal 5-HT2C receptor protein levels."
9605579,"Thus the hypophagia produced by m-CPP may involve activation of 5-HT2C receptors in the hypothalamus, where there is a greater receptor reserve or which are more resistant to agonist-induced down-regulation than 5-HT2C receptors in limbic areas (striatum and nucleus accumbens) mediating m-CPP-induced hypolocomotion."
26399269,"Intuitive eating (IE) is a new and innovative approach that uses an individual's response to internal cues of hunger, satiety, and appetite, and replaces calorie restriction (CR)."
35570696,LT3 may also be used in some thyroid cancer patients preparing for radioactive iodine therapy.
25709457,Levothyroxine therapy might be potentially useful to attenuate mood instability in this patient group.
25709457,"Herein, we report a 32-year-old male patient who had bipolar 1 disorder for 12 years who developed a breakthrough rapid cycling course and first-onset clinical hypothyroidism at the age of 31 years during lithium therapy."
25709457,This observation suggested that investigation of both levothyroxine pharmacology and thyroid pathology in male patients with rapid cycling bipolar disorder might be of much value.
35255053,To investigate the efficacy and safety of cilostazol for atherosclerosis.
35255053,"Treatment with cilostazol significantly reduced carotid intima-media thickness [mean difference (MD), -0.12 mm; 95% confidence interval (CI), -0.17 to -0.06]."
35255053,"According to the difference in intervening measures, the cilostazol group was superior to the control group in inhibiting the progression of carotid intima-media thickness: cilostazol versus placebo (MD, -0.04 mm; 95% CI, -0.06 to -0.02; P < 0.00001), cilostazol versus no antiplatelet drug (MD, -0.14 mm; 95% CI, -0.26 to -0.03; P = 0.02), cilostazol versus aspirin (MD, -0.17 mm; 95% CI, -0.32 to -0.02; P = 0.02), cilostazol + aspirin versus aspirin (MD, -0.08 mm; 95% CI, -0.14 to -0.02; P = 0.007), cilostazol + aspirin versus clopidogrel + aspirin (MD, -0.07 mm; 95% CI, -0.14 to -0.00; P = 0.04), and cilostazol + clopidogrel + aspirin versus clopidogrel + aspirin (MD, -0.16 mm; 95% CI, -0.30 to -0.02; P = 0.03)."
35255053,"Cilostazol therapy significantly increased the risk of adverse events of headache (odds ratio, 12.91; 95% CI 5.33-31.29)."
35255053,"Our research has revealed that cilostazol has potent antiatherosclerotic effects and can reverse atherosclerosis progress even in high-risk patients, such as those with type 2 diabetes mellitus, and does not increase the risk of bleeding."
34117182,"However, the efficacy and safety of evinacumab (angiopoietin-like protein 3 inhibition drug) for hypercholesterolemia treatment is unknown."
34117182,"Our primary end points included the percent change of low-density lipoprotein cholesterol (LDL-C) from baseline and the incidence of at least one treatment emergent adverse events including nasopharyngitis, influenza-like illness, headache, dizziness, injection-site reaction, increased aspartate aminotransferase, increased alanine aminotransferase, and any other discomfort during treatments."
15342825,"After concerns about the possible toxicity of thimerosal-containing vaccines in the United States, this study was designed to investigate whether there is a relationship between the amount of thimerosal that an infant receives via diphtheria-tetanus-whole-cell pertussis (DTP) or diphtheria-tetanus (DT) vaccination at a young age and subsequent neurodevelopmental disorders."
21443568,"The aim of this study was to elucidate the factors associated with the occurrence of mixed episodes, characterized by the presence of concomitant symptoms of both affective poles, during the course of illness in bipolar I disorder patients treated with an antidepressant, as well as the role of antidepressants in the course and outcome of the disorder."
30966208,"To enhance the thermal stability and permeability resistance, a comb-like polymer with crystallizable side chains was fabricated as solid-solid phase change materials (PCMs) inside the cores of microcapsules and nanocapsules prepared via in-situ polymerization."
30966208,"Comparing with low molecular organic PCMs cores, the thermal stability of PCMs microencapsulated comb-like polymer enhanced significantly, and the permeability resistance improved obviously as well."
11600000,Kernel pericarp wax of the corn breeding population GT-MAS:gk has been associated with resistance to Aspergillus flavus infection and aflatoxin production.
11600000,"An alkylresorcinol, 5-methylresorcinol, also inhibited in vitro growth of A. flavus."
11600000,These and other phenolic compounds may contribute to kernel wax inhibition of A. flavus infection/aflatoxin production.
33654064,"Maternal environmental exposures, such as high-fat diets, diabetes and obesity, can induce long-term effects in offspring."
33654064,"Our data demonstrated that exposure to maternal high-fat diet in early-life leads to brain alterations that persist into adulthood, even after dietary modifications."
19746561,"Unlike these other conditions, fibromyalgia is not associated with radiological or laboratory abnormalities; (4) Paracetamol has not been compared with other treatments in fibromyalgia."
19746561,"Nonsteroidal antiinflammatory drugs have no specific effect; (5) The only two trials assessing tramadol showed little effect; in one study the average pain score was 53 mm in the tramadol group versus 65 mm in the placebo group, on a scale ranging from 0 to 100 mm."
19746561,"The adverse effects of tramadol are those of opiates in general, mainly nausea and dependence."
19746561,"The best-assessed alternative therapies (acupuncture and physical exercise) only have a limited effect; (9) In practice, when a patient presents with symptoms compatible with fibromyalgia, the first step is to rule out a treatable condition."
34145727,Postoperative myalgia (POM) is one of its commonest adverse effects with unknown pathogenesis.
34145727,We hypothesized that duloxetine may reduce the incidence and severity of fasciculation or succinylcholine-induced POM in outpatient surgeries.
33748246,Accidental dural puncture (ADP) and subsequent post-dural puncture headache (PDPH) remain common complications of epidural procedures for obstetric anesthesia and analgesia.
33748246,No clear consensus exists on the best way to prevent PDPH after ADP.
23033490,"In patients with advanced bladder cancer, glucocorticoids are frequently given to reduce acute toxicity, particularly hyperemesis, during chemotherapy, as well as to improve cachectic conditions."
23033490,"However, it remains unclear whether glucocorticoids directly affect the development and progression of bladder cancer through the glucocorticoid receptor pathway."
23033490,"Then, the effects of dexamethasone on glucocorticoid receptor transcription, cell proliferation, apoptosis/cell cycle, and invasion were examined in bladder cancer lines."
23033490,"Finally, mouse xenograft models for bladder cancer were used to assess the efficacy of dexamethasone on tumor progression."
23033490,"In addition, dexamethasone increased IκBα protein levels and cytosolic accumulation of NF-κB. In xenograft-bearing mice, dexamethasone slightly augmented the growth of the inoculated tumors but completely prevented the development of bloody ascites, suggestive of peritoneal dissemination of tumor cells, and actual metastasis."
19297425,Food deprivation induces a repression of protein synthesis in skeletal muscle in part due to reduced signaling through the mammalian target of rapamycin complex 1 (mTORC1).
19297425,"Moreover, inhibiting corticosterone-mediated signaling via administration of the glucocorticoid receptor antagonist RU486 blocked both the food deprivation- and diabetes-induced increase in REDD1 mRNA expression."
16301999,"Through gene expression profiling we discovered that the expression of thioredoxin-intereacting protein (txnip) mRNA is significantly induced by the glucocorticoid hormone dexamethasone not only in the murine T-cell lymphoma line WEHI7.2, but also in normal mouse thymocytes."
15331122,"We have established procedures to reliably induce opiate dependence in the chick embryo via in ovo injection, early in embryonic development, of the long-acting and potent opiate N-desmethyl-l-alpha-noracetylmethadol (NLAAM)."
15331122,We then measured the corticosterone and fever responses to LPS stimulation during the withdrawal period.
15331122,"After the conclusion of opiate withdrawal, we assessed the hypersensitivity response to phytohemagglutinin (PHA)."
15331122,The fever response to LPS and the hypersensitivity response to PHA were suppressed by prenatal opiate exposure and postnatal withdrawal.
15331122,"It was unlikely that the effects of prenatal NLAAM were the result of toxicity, as little chronic toxicity was seen with the lower two doses of NLAAM, doses that yielded significant suppressions of neural-endocrine-immune responses."
35087402,"Antimycobacterial activity of the extract and fractions was tested against four non-tuberculous mycobacteria (Mycobacterium smegmatis, M. fortuitum, M. aurum, M. bovis BCG) and pathogenic M. tuberculosis H37Rv while the Egg Hatch Assay (EHA) was used for the anthelmintic test on eggs of Haemonchus contortus."
35087402,"This fraction had the best NO inhibitory activity and was the least cytotoxic, indicating that its activity was not due to general metabolic toxicity, with 96.54% cell viability."
17420219,"Acute exposure to toluene and other volatile organic solvents results in neurotoxicity characterized by nervous system depression, cognitive and motor impairment, and alterations in visual function."
12010773,"However, the same concentration of CHPG (10 min perfusion) significantly attenuated the NMDA-induced ventral root depolarization (VRD)."
12010773,"3. The attenuating effect of CHPG on the NMDA-induced VRD was inhibited by the mGluR5 receptor antagonist, 2-methyl-6-phenyl-ethynylpyridine (MPEP)."
12010773,"4. In the presence of CGP56433A, a GABA(B) receptor antagonist, the NMDA-induced VRD was unchanged."
12010773,"Therefore, activation of mGlu5 receptors located on GABA-ergic interneurones could influence any direct potentiating interaction between mGlu5 and NMDA receptors in spinal cord and result in depression of the VRD."
18472959,"Terminal deoxynucleotidyl transferase-mediated nick-end labeling and nuclear fragmentation analyses demonstrated that androgens protect LNCaP prostate cancer cells from apoptosis induced by thapsigargin, the phorbol ester 12-O-tetradecanoyl-13-phorbol-acetate, or UV irradiation."
16004999,"However, the DHT-induced TEC-secreted apoptotic factors could induce thymocyte DNA fragmentation only when DHT was added to the conditioned medium."
11070352,"Here are described the effects of androgens, and other molecules known to bind to androgen receptors (AR), on MOP cells established from the human prostate cancer cell line LNCaP. MOP cells contained AR: 100000 binding sites/cell, K(D) for 5alpha dihydrotestosterone (DHT) 0.5 nM, size 110 kDa."
11070352,"R 1881, CYPA and E2 blocked the cell cycle between G1 and S phases and they induced apototosis as demonstrated by the increase of blebs on the plasma membrane, nuclear fragmentation, TdT-mediated dUTP nick end-labeling (TUNEL)-positive cells and internucleosomal DNA breaks."
11070352,"In athymic nude mice, testosterone enanthate prevented the growth of MOP tumors and, when tumors did develop, brought about regression."
29706030,Preconception planning in women with hypothyroidism should pre-empt and mirror the adaptive changes in the thyroid gland by careful levothyroxine dose adjustments to ensure adequate foetal thyroid hormone delivery in pregnancy.
29706030,"Thus, pregnancy should be deferred until a stable euthyroid state is achieved, and definitive therapy with radioiodine or surgery should be considered in women with Graves' disease planning future pregnancy."
29706030,Women with active disease who are imminently trying to conceive should be switched to propylthiouracil either preconception or at conception in order to minimize the risk of birth defects from carbimazole or methimazole exposure.
33076712,7-methylxanthine (7-MX) is a molecule that is presently under clinical investigation for the treatment of myopia.
33076712,"In the present study, we have investigated sub-chronic and chronic toxicity of 7-MX in comparison to other clinically used methylxanthines i.e., caffeine and theobromine as per OECD guidelines 408 and 452."
33076712,"In sub-chronic treatment, 7-MX showed no mortality and signs for toxicity in any group, whereas 10% and 40% mortality with signs for toxicity were observed in caffeine and theobromine treated groups, respectively."
34303966,"In this study, neuroprotective potential of theobromine (TBR) was evaluated in 2-vessel occlusion transient global cerebral ischemia-reperfusion (tGCI/R) rat model."
34303966,"Rats were treated with TBR (50, 100 mg/kg, p.o.) for 7 successive days, and subjected to bilateral common carotid artery occlusion (20 min) or sham surgery after last dose of TBR."
34303966,"TBR protected against lipid peroxidation and enhanced glutathione level in brain against tGCI/R. TBR pre-treatment for 7 days prevented tGCI/R induced cell death (lactate dehydrogenase, caspase-3), vascular injury (MMP-9), and inflammation (TNF-α, NFκB) in rat whole brain."
34303966,TBR protected against glutamate excitotoxicity and GABAergic decline in the brain of rats against tGCI/R injury.
32697259,"Here, we found that FTEs supplementation effectively alleviated the body weight gain, visceral fat accumulation, dyslipidemia, and impaired glucose tolerance induced by a high-fat diet (HFD), and fecal microbiota transplantation (FMT) from FTEs-treated mice showed similar protective effects as FTEs supplementation in mice fed with a HFD."
32697259,"In particular, FTEs reversed HFD-induced gut microbiota dysbiosis via increasing the relative abundances of Bacteroides, Adlercreutzia, Alistipes, Parabacteroides, and norank_f_Lachnospiraceae, and reducing that of Staphylococcus."
32697259,"Interestingly, FTEs could still alleviate HFD-induced lipid accumulation in mice treated with antibiotics, which had increased relative abundances of Bacteroidetes, Bacteroides, and Bacteroides_uniformis sp. In addition, supplementation with FTEs also modified the serum metabolome, especially the ""caffeine metabolism"" pathway."
32697259,"Overall, FTEs exerts beneficial effects against obesity induced by HFD, and the underlying mechanism is partially related to the reprogramming of intestinal microbiota, while the metabolism of caffeine in FTEs also played an important role in the process."
29561181,"Although mean sleep deprivation during night shift was relatively small (~1.5 h) the impairment in participants' mental state was high in all three dimensions (mood, vigilance and agitation, p ≤ 0.001)."
35043499,"This has been clinically validated: currently, two Hcrt receptor antagonists are approved to treat insomnia (suvorexant and lemborexant), with a New Drug Application recently submitted to the US Food and Drug Administration for a third drug (daridorexant)."
34681028,"Although early pregnancy maternal folate appears to be the most independent predictor of foetal brain growth, there is insufficient data to confirm the link between maternal folate and offspring risks for neurodevelopmental diseases."
10879069,"A Japanese herbal medicine termed ""Kami-Umtan-To (KUT)"" was first described in Japanese literature in 1626, KUT consists of 13 different herbs, and it has been used for a long time in the treatment of a variety of neuropsychiatric problems including neurosis and insomnia."
10879069,"Here, we report a 12-month open clinical trial of KUT and combination of estrogen, vitamin E and NSAID to aim at slowing down the progression of Alzheimer's disease (AD)."
10879069,"Rate of cognitive decline as measured by change in MMSE score per year was significantly slower (p = 0.04, ANOVA) in the KUT group (1.4 points) and the combination group (0.4 points) as compared to 4.1 points in 32 control AD patients (MMSE score: 20.8 +/- 5.6) who received no medicines for AD."
2175010,The neurological disorders in AIDS may be caused by dysfunction of cellular cholesterol transport.
2175010,Substitution of high density lipoprotein is recommended in the treatment of severe polyneuropathy and dementia in AIDS.
9055798,"Logistic regression and classification and regression tree analysis (CART) were used to analyse data obtained at the first visit from a sample of 83 patients with a clinical history of parkinsonism or dementia confirmed neuropathologically, including PSP (n = 24), corticobasal degeneration (n = 11), Parkinson's disease (PD, n = 11), diffuse Lewy body disease (n = 14)."
9055798,"Unstable gait, absence of tremor-dominant disease and absence of a response to levodopa differentiated PSP from PD."
18065267,Marijuana abuse is associated with neurological changes including increases in frontal EEG alpha during abstinence.
17659836,Cancer patients treated with antimitotic drugs in the taxane and vinca alkaloid classes sometimes develop a chronic painful peripheral neuropathy whose cause is not understood.
17659836,But animals with paclitaxel- and vincristine-evoked neuropathic pain do not have axonal degeneration at the level of the peripheral nerve.
17659836,We surveyed primary afferent axonal activity in the sural nerve of rats with the paclitaxel- and vincristine-evoked pain syndromes at the time of peak pain severity.
17659836,"Moreover, we show that prophylactic treatment with acetyl-l-carnitine (ALC), which blocks the development of the paclitaxel-evoked pain, causes a significant decrease (ca. 50%) in the incidence of A-fibers and C-fibers with spontaneous discharge."
8687048,Secondary myelodysplasia after antimitotic therapy is a rare complication usually observed with alkylating agents.
8394025,"Chemotherapy, which is very active against this type of tumour, forms the basis of the conventional treatment where 2 sets of drug combinations are administered: either anthracycline + epidophyllotoxin + alkylating agent, or platinum salt + epidophyllotoxin."
34800616,In this study we report a novel approach to treatment of VBD using thin film designed to fit the vulvar vestibule and deliver lidocaine locally.
34800616,"Two use cases for VBD treatment were identified 1) rapid drug release (<5 min), for use prior to intercourse and 2) long-acting release (≥120 min) for prolonged use and relief throughout the day."
34214019,"Schizandrin A (Sch A) is a major phytochemical from Schisandra chinensis (Turcz.) Baill. (Schisandraceae), which exerts a neuroprotective effect in Alzheimer's disease (AD)."
9111026,The diverse biological actions of retinoic acid (RA) are mediated by retinoic acid receptors (RARs) and retinoid X receptors.
9111026,We have examined the role of several positively charged amino acid residues located in the LBD of RARalpha in RA binding.
9111026,"In addition, Arg276 of RARalpha, like its homologous residue Arg269 of RARbeta, was found to play an important role in the binding of RA most likely by interacting with the carboxylate group of RA."
28857070,"Healthy volunteers (n=40), persons diagnosed with cocaine dependence in early abstinence (<2 months, EACD) (n=23), and drug-free former cocaine-dependent persons (7-month to 25-year abstinence, DFFCD) (n=7) were studied, with measurements including circulating neuroendocrine hormones, affect, and, in cocaine-dependent persons, cocaine craving."
28857070,No significant changes were noted in measures of depression or cocaine craving in this stress-minimized setting.
25363303,"As sex differences in substance dependence may impinge upon the perception and regulation of emotion, we assess emotional intelligence (EI) as a function of gender, menstrual cycle (MC) phase and hormonal changes in early abstinent cocaine-dependent individuals who abuse alcohol (CDA)."
19672626,"For instance, neurocognitive disorders such as attention-deficit hyperactivity disorder (ADHD), dyslexia, dyspraxia and autism spectrum disorders are often associated with a relative lack of omega-3 fatty acids."
